From File,To File,References,From Entities,To Entities
Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,Blockinger\src\org\blockinger\game\components\Board.java,11,5,4
Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,120,4,9
Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,Blockinger\src\org\blockinger\game\Square.java,13,5,2
Blockinger\src\org\blockinger\game\pieces\Piece4x4.java,Blockinger\src\org\blockinger\game\components\Board.java,11,5,4
Blockinger\src\org\blockinger\game\pieces\Piece4x4.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,144,4,8
Blockinger\src\org\blockinger\game\pieces\Piece4x4.java,Blockinger\src\org\blockinger\game\Square.java,13,5,2
Blockinger\src\org\blockinger\game\pieces\SPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\SPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\SPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\pieces\TPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\TPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\TPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\pieces\ZPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\ZPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\ZPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\Row.java,Blockinger\src\org\blockinger\game\Animator.java,7,6,6
Blockinger\src\org\blockinger\game\Row.java,Blockinger\src\org\blockinger\game\components\Board.java,7,6,3
Blockinger\src\org\blockinger\game\Row.java,Blockinger\src\org\blockinger\game\Square.java,12,9,5
Blockinger\src\org\blockinger\game\SeekBarPreference.java,Blockinger\gen\org\blockinger\game\R.java,10,3,7
Blockinger\src\org\blockinger\game\Square.java,Blockinger\gen\org\blockinger\game\R.java,18,1,11
Blockinger\src\org\blockinger\game\WorkThread.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,7,4,4
Blockinger\src\org\blockinger\game\WorkThread.java,Blockinger\src\org\blockinger\game\components\Board.java,1,1,1
Blockinger\src\org\blockinger\game\WorkThread.java,Blockinger\src\org\blockinger\game\components\Controls.java,1,1,1
Blockinger\src\org\blockinger\game\WorkThread.java,Blockinger\src\org\blockinger\game\components\Display.java,1,1,1
Blockinger\src\org\blockinger\game\WorkThread.java,Blockinger\src\org\blockinger\game\components\GameState.java,2,1,2
